barcode,product_name,brands,quantity_grams,sugars_100g,fat_100g,fiber_100g,proteins_100g,salt_100g,energy_kcal_100g,nutrition_grades,sugar_pct_dv,sugar_tier,high_sugar_flag,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
3168930010265,cruesly mélange de noix,Quaker,450.0,12,19,10,8.5,0,462,b,24.0,high,1,Endcap-South,742,0.48
3229820160672,Croustillant Chocolat,Bjorg,500.0,14,14,10,9.27,0.26,431.666666666667,c,28.000000000000004,high,1,Aisle 2B,745,0.56
3229820019307,Flocons d'avoine,BJORG,500.0,1.7,7.1,11,11,0.02,363.333333333333,a,3.4000000000000004,low,0,Aisle 4B,1122,0.068
3229820129488,"Muesli Raisin, Figue, Datte, Abricot",Bjorg,375.0,14,5.8,10,11,0.03,352,a,28.000000000000004,high,1,,,0.56
3387390123210,Chocapic,"Nestlé, Chocapic",375.0,19.9,4.4,7.7,8.5,0.2,384,b,39.8,high,1,Aisle 2B,277,0.7959999999999999
5010477348678,Special Muesli 30% fruits & noix,Jordans,750.0,17,7.2,8.8,10,0.03,360,a,34.0,high,1,Aisle 2B,138,0.68
3229820782560,"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Bjorg,375.0,13,6,10,12,0.04,358.571428571429,a,26.0,high,1,Aisle 1A,570,0.52
7613036669146,NESTLE CHOCAPIC BIO Céréales - Boite de 375g,"Nestlé, Chocapic",375.0,19.9,5.6,8.2,9.1,0.2,390,b,39.8,high,1,Endcap-South,null,0.7959999999999999
5010029000023,Original,Weetabix,430.0,4.2,2,10,12,0.28,362,a,8.4,moderate,0,Aisle 1A,357,0.168
5010477348357,Country Crisp 4 noix,Jordans,550.0,18,20,6.1,11,0.03,465,c,36.0,high,1, Aisle 3C,,0.72
8410076610737,NATURE VALLEY protein pind&choc.GV,Nature Valley,160.0,17.1,28.3,10.7,25.6,0.99,488,d,34.2,high,1,,,0.684
3159470000120,CORN FLAKES,Kellogg's,500.0,8,0.9,3,7,1.1,376.666666666667,d,16.0,moderate,0,Aisle 2B,180,0.32
3229820769165,Muesli avoine chocolat bio,Bjorg,375.0,8.2,8.8,10,12,0.1,386,a,16.4,moderate,0,Aisle 2B,72,0.32799999999999996
3168930010906,Cruesli Chocolat noir,Quaker,450.0,16,19,10,8.1,0.48,455,c,32.0,high,1,Aisle 2B,492,0.64
3168930009078,Flocons d'avoine complète,Quaker,550.0,1.1,8,9,11,0.01,395,a,2.2,low,0,,,0.044000000000000004
20003166,,Crownfield,500.0,0.7,7,10,13.5,0.02,372,a,1.4,low,0, Aisle 3C,85,0.027999999999999997
5010477348630,Muesli 36% fruits noix & graines,Jordan,500.0,18.9,8.4,8.5,9.3,0.03,373,c,37.8,high,1,Aisle 1A,345,0.7559999999999999
3168930009795,Muesli Croustillant Noix de pécan & noix du Brésil,Quaker,500.0,13,11,13,11,0.24,420,b,26.0,high,1,Endcap-South,595,0.52
7613035449626,NESTLE CHOCAPIC Céréales 645g,"Nestlé, Chocapic",645.0,19.9,4.4,7.7,8.5,0.2,384,b,39.8,high,1,Aisle 2B,125,0.7959999999999999
5010477348395,Country Crisp - Chocolat noir 70% cacao,Jordans,550.0,23,15,5.6,8.8,0.03,446,d,46.0,high,1,Aisle 4B,944,0.92
5010477348517,Country Crisp 4 Baies,Jordans,550.0,20,13,6,9.1,0.03,432,c,40.0,high,1,Aisle 2B,812,0.8
3229820798110,Granola Chocolat,Bjorg,350.0,12,13,7.5,10,0.01,420,c,24.0,high,1,Aisle 4B,362,0.48
3229820797861,Croustillant 3 noix,Bjorg,450.0,14,17,9.9,11,0.02,486.666666666667,b,28.000000000000004,high,1,Aisle 1A,119,0.56
4008713713411,Copos de Avena extra suaves,Brüggen,800.0,0.7,7,10,14,5e-05,367.5,a,1.4,low,0,Aisle 4B,767,0.027999999999999997
5059319023762,Miel Pops,KELLOG'S,330.0,22,1.5,4.6,5.2,0.4,384,c,44.0,high,1,Endcap-South,1051,0.88
5010029229110,Crispy Minis Choco,Weetabix,500.0,17,5.1,10,10,0.16,386,b,34.0,high,1,,,0.68
3421557501722,Muesli croustillant tradition,Terres et Céréales,1.0,20,13,5.9,9.1,0.05,440,c,40.0,high,1,,,0.8
3421557501975,Muesli croustillant duo pépites,Terres et Céréales Bio,100.0,25,13,7.6,9.2,0.05,434,c,50.0,high,1,Aisle 2B,267,1.0
3229820786605,Crousti' Avoine Chocolat,Bjorg,500.0,14,13,9.5,10,0.1,416,c,28.000000000000004,high,1,Aisle 2B,138,0.56
3168930003632,Quaker Oats,Quaker,800.0,1.1,8,9,11,0.01,375,a,2.2,low,0,,,0.044000000000000004
3229820116716,Muesli aux fruits,Bjorg,750.0,10,6,10,11,0.02,358.333333333333,a,20.0,high,1,Aisle 4B,998,0.4
3229820796857,Flocons d'avoine,Bjorg,900.0,0,8,11,10.8333333333333,0.0833333333333333,363.333333333333,a,0.0,low,0,,,0.0
7613287514325,Fitness Nature Céréales complètes,"Nestlé, Fitness",475.0,8.3,1.5,8.5,9.8,0.56,368,a,16.6,moderate,0, Aisle 3C,897,0.332
7613032779566,chocapic,"Nestlé, Chocapic",1000.0,19.9,4.4,7.7,8.5,0.2,384,b,39.8,high,1,Aisle 1A,505,0.7959999999999999
3168930010890,Quaker Cruesli Chocolat au lait,Quaker,450.0,20,19,8.7,7.7,0.51,471.111111111111,d,40.0,high,1,Endcap-South,298,0.8
5010477365316,Oh my crisp ! - Noix,JORDANS,400.0,9.5,20,18,9,0.03,440,b,19.0,moderate,0,Aisle 1A,510,0.38
3421557502446,T&C Muesli croustillant avoine amandes sans gluten,Terres & céréales bio,500.0,18,15,6.9,9,0.04,447,c,36.0,high,1,Endcap-South,284,0.72
3229820794556,"Muesli Proteines Soja, Dattes, Fruits Rouges",Bjorg,375.0,10,9.4,12,21,0.02,365,a,20.0,high,1,Aisle 1A,400,0.4
3387390326574,Céréales Cookie Crisp,"Nestlé, Cookie crisp",375.0,22.4,5.2,6,6.7,0.66,393,c,44.8,high,1,Aisle 1A,290,0.8959999999999999
3229820797946,Muesli sans sucres ajoutés raisin figue datte abricot,Bjorg,750.0,14,5.8,10,11,0.03,352,a,28.000000000000004,high,1,Aisle 2B,864,0.56
8402001010873,Muesli Crunchy,Hacendado,500.0,3.2,12,23,8.8,0.08,401,a,6.4,moderate,0,Aisle 2B,732,0.128
5010477356277,Granola Amandes Noisettes & Graines,Jordans,400.0,2.5,14.8,16.1,12.6,0.03,451,a,5.0,moderate,0,Aisle 1A,null,0.1
5010477354051,Muesli Bio Superfruits,Jordans,450.0,10.2,5.5,9.4,11.2,0.03,360,a,20.4,high,1,Endcap-South,592,0.408
3560071407650,Muesli de quinoa y chocolate,"Carrefour BIO, Carrefour",375.0,16,12,6.8,9.1,0.08,424,c,32.0,high,1, Aisle 3C,994,0.64
20621469,Special Flakes Original,Crownfield,500.0,8.8,1.8,8.1,8.9,0.5125,386,a,17.6,moderate,0,Aisle 1A,654,0.35200000000000004
5010477348555,Country Crisp 4 Noix,Jordans,850.0,18,20,6.1,11,0.03,465,c,36.0,high,1,Aisle 4B,0,0.72
3560070614202,Copos de Avena Integral,Original,500.0,0.7,7,10,14,0,372,a,1.4,low,0,Endcap-South,619,0.027999999999999997
3421557910203,Flocons d'avoine complets,"Terres & Céréales, Terres & Céréales BIO",500.0,0.9,7,10,12,0.01,371,a,1.8000000000000003,low,0, Aisle 3C,977,0.036000000000000004
3168930010869,Cruesli Chocolat noir maxi format,QUAKER,900.0,16,19,10,8.1,0.48,455,c,32.0,high,1,Aisle 4B,101,0.64
