barcode,shelf_location,units_sold_last_month
5010029000023,Aisle 1A,357
3168930010890,Endcap-South,298
3159470000120,Aisle 2B,180
5010477348630,Aisle 1A,345
3560071270285,Aisle 1A,922
3421557110221,Aisle 1A,955
7613036669146,Endcap-South,null
8480000095367,Endcap-South,812
8180140265112,Aisle 1A,481
3168930158158, Aisle 3C,581
5900617002983,Aisle 4B,433
4008713713411,Aisle 4B,767
3229820782560,Aisle 1A,570
1589198079968, Aisle 3C,287
7613035449626,Aisle 2B,125
4056489687337,Endcap-South,1179
3256228686558,Aisle 2B,1061
5124180840559,Aisle 1A,1009
3250391896554, Aisle 3C,732
3168930010265,Endcap-South,742
3560071407650, Aisle 3C,994
5010477348357, Aisle 3C,
3421557502446,Endcap-South,284
2321154772389, Aisle 3C,347
8480000094742, Aisle 3C,null
3168930010869,Aisle 4B,101
3229820798110,Aisle 4B,362
3770008009882,Aisle 1A,215
20283360,Endcap-South,865
5059319023533,Endcap-South,549
3229820794556,Aisle 1A,400
8480000095718, Aisle 3C,247
7613287366665,Aisle 4B,222
3421557501975,Aisle 2B,267
4056489296805,Endcap-South,1067
5525676208306,Aisle 2B, 549 
0401522200293,Aisle 4B,
8480000156112,Aisle 2B,818
20159917,Aisle 4B,237
3387390123210,Aisle 2B,277
3421557502767,Endcap-South,945
5010477356277,Aisle 1A,null
5010477365316,Aisle 1A,510
3229820116716,Aisle 4B,998
3229820794549,Aisle 1A,0
8402001010873,Aisle 2B,732
3159470001424, Aisle 3C,984
5059319025711,Aisle 1A,113
5053827199667,Aisle 2B,834
5010477365378,Aisle 4B, 483 
7820748315036,Aisle 2B,807
7613032779566,Aisle 1A,505
8445290114594,Endcap-South,978
8480000229663, Aisle 3C,877
3387390019995,Aisle 4B,
5050083516313,Aisle 2B,1042
7613287514325, Aisle 3C,897
5059319023762,Endcap-South,1051
3229820797946,Aisle 2B,864
5010029000801,Aisle 2B,"1,088"
3229820019307,Aisle 4B,1122
3168930010906,Aisle 2B,492
3564706624467,Aisle 4B,937
3421557110313,Aisle 1A,161
3564706604360,Aisle 4B,817
5010477354051,Endcap-South,592
5010477360755,Aisle 2B,788
3387390326574,Aisle 1A,290
5053827175654,Aisle 2B,795
1146475313569, Aisle 3C,125
8510151055377,Aisle 2B,761
3760336830586,Aisle 2B,66
5010477348678,Aisle 2B,138
3421557501685,Endcap-South,567
3229820802138,Aisle 1A,241
3564706612792, Aisle 3C,664
3560071407773, Aisle 3C,656
3229820769165,Aisle 2B,72
3159470005071, Aisle 3C,544
3229820804224,Aisle 2B,"1,192"
20003166, Aisle 3C,85
3421557910203, Aisle 3C,977
3168930009795,Endcap-South,595
3229820786599,Aisle 2B,242
3560070614202,Endcap-South,619
20621469,Aisle 1A,654
4056489300786,Aisle 1A,940
3229820797861,Aisle 1A,119
5010029000016,Endcap-South,0
5059319030913, Aisle 3C,191
40897677,Aisle 4B,925
5010477348517,Aisle 2B,812
6088310462299,Aisle 1A,864
5010477348555,Aisle 4B,0
3421557501630,Aisle 1A,629
3229820786605,Aisle 2B,138
5050083296079, Aisle 3C,768
5053827110983, Aisle 3C,392
3229820160672,Aisle 2B,745
5010477348395,Aisle 4B,944
